Category: Travel

Week,Pinnacles National Park: (United States)
2017-12-31,67
2018-01-07,66
2018-01-14,64
2018-01-21,43
2018-01-28,53
2018-02-04,50
2018-02-11,77
2018-02-18,80
2018-02-25,60
2018-03-04,64
2018-03-11,59
2018-03-18,75
2018-03-25,93
2018-04-01,90
2018-04-08,92
2018-04-15,85
2018-04-22,85
2018-04-29,76
2018-05-06,71
2018-05-13,64
2018-05-20,93
2018-05-27,65
2018-06-03,58
2018-06-10,67
2018-06-17,56
2018-06-24,62
2018-07-01,67
2018-07-08,49
2018-07-15,65
2018-07-22,67
2018-07-29,65
2018-08-05,67
2018-08-12,59
2018-08-19,48
2018-08-26,66
2018-09-02,62
2018-09-09,53
2018-09-16,45
2018-09-23,46
2018-09-30,40
2018-10-07,46
2018-10-14,51
2018-10-21,45
2018-10-28,65
2018-11-04,51
2018-11-11,60
2018-11-18,70
2018-11-25,32
2018-12-02,41
2018-12-09,38
2018-12-16,58
2018-12-23,100
2018-12-30,72
